,open,high,close,low,timestamp,volume
0,1.46552,1.47232,1.46684,1.46223,2009-09-25T00:00:00,104425.0
1,1.46994,1.47189,1.45772,1.45711,2009-09-27T00:00:00,25569.0
2,1.4577,1.46781,1.46255,1.45635,2009-09-28T00:00:00,102151.0
3,1.46258,1.4645,1.46195,1.45262,2009-09-29T00:00:00,129274.0
4,1.46194,1.46724,1.46236,1.45742,2009-09-30T00:00:00,118029.0
5,1.46236,1.4628,1.45426,1.45013,2009-10-01T00:00:00,119321.0
6,1.45426,1.46471,1.45731,1.44799,2009-10-02T00:00:00,99393.0
7,1.46074,1.4646,1.4633,1.45797,2009-10-04T00:00:00,15893.0
8,1.46334,1.4717,1.47047,1.45915,2009-10-05T00:00:00,93565.0
9,1.47047,1.47613,1.47044,1.46825,2009-10-06T00:00:00,103714.0
10,1.47042,1.47729,1.476,1.46495,2009-10-07T00:00:00,107376.0
11,1.47603,1.48162,1.4722,1.4703,2009-10-08T00:00:00,118634.0
12,1.47225,1.4772,1.47106,1.46725,2009-10-09T00:00:00,87015.0
13,1.47202,1.4741,1.47012,1.46755,2009-10-11T00:00:00,12042.0
14,1.47012,1.48124,1.47712,1.468,2009-10-12T00:00:00,78366.0
15,1.4771,1.48871,1.48852,1.47609,2009-10-13T00:00:00,116139.0
16,1.48854,1.49595,1.49524,1.48692,2009-10-14T00:00:00,115742.0
17,1.4952,1.49666,1.49325,1.48421,2009-10-15T00:00:00,117114.0
18,1.49328,1.4939,1.48933,1.48478,2009-10-16T00:00:00,99474.0
19,1.48857,1.49184,1.48793,1.48275,2009-10-18T00:00:00,21013.0
20,1.48795,1.4993,1.49719,1.4871,2009-10-19T00:00:00,97822.0
21,1.49718,1.49902,1.49222,1.48815,2009-10-20T00:00:00,106976.0
22,1.49224,1.50454,1.49835,1.49055,2009-10-21T00:00:00,128085.0
23,1.49835,1.50594,1.5028,1.4943,2009-10-22T00:00:00,111865.0
24,1.50278,1.50502,1.49959,1.49845,2009-10-23T00:00:00,110403.0
25,1.49921,1.5062,1.50369,1.4981,2009-10-25T00:00:00,18898.0
26,1.50366,1.50463,1.48804,1.48438,2009-10-26T00:00:00,104053.0
27,1.48807,1.49263,1.48105,1.47695,2009-10-27T00:00:00,132330.0
28,1.48106,1.484,1.47175,1.46822,2009-10-28T00:00:00,128765.0
29,1.47176,1.48575,1.48535,1.47013,2009-10-29T00:00:00,115008.0
30,1.48535,1.4856,1.47115,1.47105,2009-10-30T00:00:00,102987.0
31,1.47145,1.47706,1.47589,1.46842,2009-11-01T00:00:00,28169.0
32,1.47585,1.48441,1.47828,1.47265,2009-11-02T00:00:00,112865.0
33,1.47829,1.48052,1.47325,1.46255,2009-11-03T00:00:00,136496.0
34,1.47325,1.49078,1.48405,1.4722,2009-11-04T00:00:00,117890.0
35,1.48407,1.49168,1.48733,1.48105,2009-11-05T00:00:00,108689.0
36,1.48735,1.49134,1.48446,1.48125,2009-11-06T00:00:00,84572.0
37,1.48805,1.49418,1.49375,1.48522,2009-11-08T00:00:00,22275.0
38,1.49375,1.5019,1.49785,1.49279,2009-11-09T00:00:00,95840.0
39,1.49786,1.50193,1.49852,1.4937,2009-11-10T00:00:00,111221.0
40,1.49852,1.50471,1.49895,1.49525,2009-11-11T00:00:00,87599.0
41,1.49894,1.50101,1.48585,1.48203,2009-11-12T00:00:00,114033.0
42,1.48585,1.4937,1.49201,1.48235,2009-11-13T00:00:00,79446.0
